Kategoria,Model,Accuracy,Precision,Recall,F1,AUC
Podstawowy,Isolation Forest,0.9806666666666667,0.1111111111111111,0.13333333333333333,0.12121212121212122,0.7675757575757577
Podstawowy,Local Outlier Factor,0.989,0.4594594594594595,0.5666666666666667,0.5074626865671642,0.9254208754208755
Podstawowy,One-Class SVM,0.9663333333333334,0.11827956989247312,0.36666666666666664,0.17886178861788618,0.6445791245791245
Zaawansowany,DBSCAN,0.01,0.01,1.0,0.019801980198019802,0.5
Zaawansowany,Elliptic Envelope,0.9863333333333333,0.3103448275862069,0.3,0.3050847457627119,0.8467676767676768
Zaawansowany,HBOS,0.988,0.4482758620689655,0.8666666666666667,0.5909090909090909,0.9330751964085298
Zaawansowany,Ensemble,0.009666666666666667,0.009342676009342675,0.9333333333333333,0.01850016518004625,0.8663973063973064
